CM000126.1	Genbank	gene	X18113	X20165	.	X.	..1	gene_id..OsI_00001...transcript_id.....gbkey..Gene...gene_biotype..protein_coding...locus_tag..OsI_00001...partial..true..	logFC	logCPM	F	PValue	FDR
NA	NA	NA	NA	NA	NA	NA	NA	NA	12.0907342446611	5.72411117326132	5791.98661509912	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	11.6173928302491	10.7741854860824	20559.4398816561	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3092258234726	5.23546901416103	4766.35790984607	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.9653388668595	9.21848456682103	14900.5990923657	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.7375509951692	3.48683460346658	1890.00467614101	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5462649721886	6.76287648117505	8000.89673612782	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.435454314548	3.18089086172959	1550.49822770215	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2424568623057	3.49004645239617	1883.89291384716	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2165369810108	5.83073827493591	5885.22854875692	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1999938694477	3.44619158549006	1831.85973995276	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	10.1287697024723	4.5047216658965	3384.94941369371	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.84862801133057	3.46614755702187	1845.31070750968	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.65417980058858	6.41228743329478	7023.22021387005	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.60641447431724	4.32605450216202	3048.15534583733	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5260167662177	4.96040405514149	4117.93302710057	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.46895475875121	4.70148296133779	3661.1388695735	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.44830034530072	6.90849265677746	8068.54937857714	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.42645791681792	3.7975733055606	2245.43054331373	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.14938433823073	3.86535478920446	2321.26329154346	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	9.07104552959414	5.11143497638553	4343.39425664212	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.93295603095753	6.64813774284903	7320.22625031648	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.89512210481579	5.92618162256475	5748.38044446307	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.85481251476054	9.24279046271839	13093.9186415251	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7289648355372	6.0166508346222	5986.25995910294	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.6754974116287	8.18113909403653	10509.326739245	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.66714229808884	3.38032109652398	1701.23206541381	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.63686275193061	4.61259372563658	3431.03508777787	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5475093322167	5.14658674771246	4323.28658160923	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.47536977024164	5.18810964980845	4379.78747894378	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.46570184060316	5.06173785788144	4160.65432702374	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.46047682670271	5.32751981149512	4622.98622938257	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.31844505714263	3.9227318986259	2339.87158730567	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.31493610645299	7.00412799519755	7790.93945816575	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.25580075137574	5.37455094575197	4665.2815189547	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.19997236560146	5.06359037658083	4115.04970040309	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.1041792060222	11.7998377326726	16841.338416621	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	8.03847266874975	5.97135201052867	5678.1454333616	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.97480474088218	11.1161390622837	15313.0238657194	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.86221862517666	5.03962515961573	4001.40492161713	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.73245058835751	4.8492682485238	3661.49107668229	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.60010753807507	3.96588231333147	2318.66358515374	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5600239288744	3.52581347459537	1783.1907278592	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.459801844094	4.45798341367552	3022.39349725634	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.44121362341541	3.7493376070404	2030.65795839571	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.43456308128493	5.34480566618017	4389.57396599215	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.29499379890595	6.45795444777911	6174.9623166958	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.28717969325592	4.95866226722425	3726.14171964764	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.26880133575523	3.36414549677854	1581.56531539614	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.26429191291634	6.04936858909591	5163.78428851155	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.22178460379339	7.29688639791825	7260.78290045857	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	7.12372733064381	4.89527298608064	3579.2187827369	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.0720701175161	3.67660681870763	1713.70551503242	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.05563909718065	4.91040708805357	3307.63724271941	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.04697762262347	3.89559393550082	1952.0266575874	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.988407077528	3.85073373510661	2087.94909352157	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.98241514237516	3.47400779759522	1499.12946649673	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.94642810956437	4.55577507000537	2794.47915494805	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.91586355327854	4.01936387512793	2076.81614902383	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.86936486201093	4.9762847877832	3353.61607760816	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.81865474246528	9.83450119892425	10848.8469651142	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.78790383275603	7.91314104422034	8042.93915657672	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.78242650231804	4.79283619459494	3329.55843559005	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.71010376097288	3.56835719060043	1560.80457281103	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.67519255096581	4.12070597459704	2161.61437492478	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.65764418595046	4.56311157156097	2738.92349046937	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6301993800692	4.17268670725004	2430.78865731796	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.61812966831745	4.03640014960987	2048.73179022705	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6014961908179	6.71965349599909	6087.08637124373	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.51272697477565	3.96437666959574	1946.63624516493	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.50998277531072	7.51777204538764	6939.67545372149	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.50982831342907	4.46259826330893	2579.33961927057	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.47878731373531	3.81546182184107	1960.23646353282	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.45241887147775	4.96934859115243	3465.81806161707	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.45015551616904	4.01602045190914	2189.82531513139	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.44753268779829	4.52531301582399	2638.12941982597	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.44587402814266	6.94247631223158	6275.22406029909	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.43745844362015	4.57233068463103	2692.94071601302	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.42340927434078	8.85798422828162	8445.45083707272	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.38125156829962	4.13410918357827	2120.03958561091	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37820382595208	5.7773536617412	4572.23014294636	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.36690659528259	4.42373820843812	2491.44380085637	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.32700555858455	5.37344386087725	3723.58748305678	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.30609357359091	3.78915717025499	1727.96970736935	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.29501325768652	5.07113673581241	3301.07588944823	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.26201318983975	3.88676800255326	1820.13792857237	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.25121459989885	6.34329931763208	5026.82975480633	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.22907731385363	5.31561024230574	3605.0515819431	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.2284859693516	4.28857704529451	2279.34105275145	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.2245687814838	5.36814783488428	3670.83764821937	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.21931644576202	5.46562312878017	3795.89414154116	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.21096909902019	3.5527495889654	1628.420557957	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.21071925217212	3.83639311044803	1759.16721630532	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.20585298122613	5.38462174581914	3686.24947449071	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.20092791684732	7.4808474686036	6551.57920509068	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.19471879000102	5.04643599203486	3225.85174668645	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.16895303365825	4.2119878359658	2169.09050270151	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.16523839925621	5.28081036255736	3532.56332829007	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.1507818007303	4.04409773262502	1969.91298519128	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.14945133345783	9.76713651406789	9341.06892426539	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.14752508468488	4.24955531918135	2210.43824680498	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.13694869661637	11.4562454115223	11242.6817286452	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.1351509257501	3.81819579320884	1725.53756442496	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.12576635221202	5.70946300897012	4081.03876843319	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.11599454060862	8.73577485805074	8138.00612457639	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.11225000534959	5.54482726298136	3850.73186654624	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	6.10318986532856	5.77174203384764	4392.17053882285	0	0
